id as number,year,occasion,site,food_trt,helm_trt,date,sess,trap,tag,id,sex,ow,per,nip,preg,test,head,mass,ticks,ear_ed,saliva_sr,smear_bs,bloodspin_bc,bloodrna_br,fecalegg_fe,fecalrna_fr,deworm,fate,handler,notes
120,2021,3,hevonen,control,control,7/11/2021,1,J5,219991,0120,M,0,NA,NA,NA,1,13.2,15.0,1,1,1,1,1,1,1,1,0,R,JV,"FE small, more FE taken 7/12 session 3 (FE0120-2)"
121,2021,3,hevonen,control,control,7/11/2021,1,I6,219965,0121,F,0,1,1,0,NA,13.3,22.0,0,1,1,1,1,1,1,1,0,R,JM,FR collected 7/12 session 3
NA,2021,3,hevonen,control,control,7/11/2021,1,D5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,JM,3 neonates born in trap. Multicap
134,2021,3,hevonen,control,control,7/11/2021,2,D5,219949,0134,M,0,NA,NA,NA,1,13.6,20.5,2,1,1,1,1,1,1,1,0,R,SK,
135,2021,3,hevonen,control,control,7/11/2021,2,B5,219978,0135,M,0,NA,NA,NA,0,12.5,12.0,2,1,1,1,1,1,1,0,0,R,JV,FE small amount
136,2021,3,hevonen,control,control,7/11/2021,2,G1,226016,0136,F,0,1,1,0,NA,13.1,22.0,0,NA,1,1,1,1,1,1,0,R,SK,FE taken 7/12 session 3
137,2021,3,hevonen,control,control,7/11/2021,2,J5,219921,0137,M,0,NA,NA,NA,1,13.1,23.5,0,1,1,1,1,1,1,1,0,R,JV,FE small amount
108,2021,3,janakkala,supplement,deworm,7/11/2021,1,F5,219972,0108,M,0,NA,NA,NA,0,12.3,11.5,0,1,1,1,1,1,1,1,1,R,JM,FR not fresh
109,2021,3,janakkala,supplement,deworm,7/11/2021,1,A4,219973,0109,F,0,1,1,1,NA,13.9,34.0,0,1,1,1,1,1,1,1,1,R,JV,fresh FR collected 7/12
110,2021,3,janakkala,supplement,deworm,7/11/2021,1,K1,219947,0110,F,0,1,0,0,NA,12.6,16.0,0,1,1,1,1,1,1,1,1,R,JM,
111,2021,3,janakkala,supplement,deworm,7/11/2021,1,B3,219904,0111,M,0,NA,NA,NA,1,14.1,18.0,0,1,1,1,1,1,1,1,1,R,JV,
112,2021,3,janakkala,supplement,deworm,7/11/2021,1,J2,219975,0112,F,0,1,1,1,NA,13.2,31.0,0,1,1,1,1,1,1,1,1,R,JM,
113,2021,3,janakkala,supplement,deworm,7/11/2021,1,B2,219909,0113,F,0,1,1,1,NA,14.2,38.0,0,1,1,1,1,1,1,1,1,R,JV,didn't swallow all dewormer
122,2021,3,janakkala,supplement,deworm,7/11/2021,2,E6,219941,0122,F,0,1,0,0,NA,12.4,12.5,0,1,1,1,1,1,1,1,1,R,JM,PIT tag recorded by Jasmine; sperm plug; multicapture; FE small amount
123,2021,3,janakkala,supplement,deworm,7/11/2021,2,E6,219914,0123,M,0,NA,NA,NA,1,13.0,17.0,1,1,1,1,1,1,1,1,1,R,SK,TT collected from back (TT0123); Multicapture; FE small amount
124,2021,3,janakkala,supplement,deworm,7/11/2021,2,A4,219929,0124,M,0,NA,NA,NA,1,13.9,19.0,0,1,1,1,1,1,1,1,1,R,JM,FE small amount
125,2021,3,janakkala,supplement,deworm,7/11/2021,2,G1,226073,0125,F,0,1,0,0,NA,13.1,15.5,0,1,1,1,1,1,1,1,1,R,SK,FR not fresh
126,2021,3,janakkala,supplement,deworm,7/11/2021,2,K3,219982,0126,M,0,NA,NA,NA,1,12.9,19.0,2,1,1,1,1,1,1,1,1,R,SK,TT collected (TT0126)
127,2021,3,janakkala,supplement,deworm,7/11/2021,2,B2,226032,0127,M,1,NA,NA,NA,1,14.5,22.0,1,NA,1,1,1,1,1,1,1,R,JM,FE small amount
128,2021,3,janakkala,supplement,deworm,7/11/2021,2,K5,219998,0128,F,0,1,1,1,NA,13.5,26.5,0,1,1,1,1,1,1,1,1,R,SK,
129,2021,3,janakkala,supplement,deworm,7/11/2021,2,H5,226062,0129,F,1,1,1,1,NA,13.6,28.0,0,NA,1,1,1,1,1,1,1,R,JM,FR not fresh
114,2021,3,radio,supplement,control,7/11/2021,1,G2,219961,0114,F,0,1,0,0,NA,13.2,20.0,0,1,1,1,1,1,1,1,0,R,SK,FE urine soaked; FR not fresh
115,2021,3,radio,supplement,control,7/11/2021,1,E2,226045,0115,M,0,NA,NA,NA,1,13.0,16.5,0,1,1,1,1,1,1,1,0,R,SK,FR not fresh
116,2021,3,radio,supplement,control,7/11/2021,1,E3,219946,0116,F,0,1,1,0,NA,12.8,22.0,0,1,1,1,1,1,1,1,0,R,SK,FR not fresh
130,2021,3,radio,supplement,control,7/11/2021,2,J1,219964,0130,F,0,1,1,1,NA,13.2,27.0,0,1,1,1,1,1,1,1,0,R,JV,sperm plug
131,2021,3,radio,supplement,control,7/11/2021,2,I5,226071,0131,M,1,NA,NA,NA,1,14.4,26.0,2,NA,1,1,1,1,1,1,0,R,JM,several wounds on face and cataract on eye
132,2021,3,radio,supplement,control,7/11/2021,2,B5,219994,0132,M,0,NA,NA,NA,1,13.6,20.0,0,1,1,1,1,1,1,1,0,R,JV,FR collected 7/12/21 sess 4
133,2021,3,radio,supplement,control,7/11/2021,2,F4,226011,0133,F,0,1,1,0,NA,13.6,27.0,0,NA,1,1,1,1,1,1,0,R,JM,
149,2021,3,hevonen,control,control,7/12/2021,3,A1,226017,0149,F,1,1,1,1,NA,14.2,31.5,1,NA,1,1,1,1,1,1,0,R,JM,
160,2021,3,hevonen,control,control,7/12/2021,4,J2,219919,0160,M,0,NA,NA,NA,1,13.4,22.5,3,1,1,1,1,1,1,1,0,R,JM,
