"date_time","occ.sess","occasion","session","site","food_trt","helm_trt","trap","x","y","tag","firstcap","sex","per","nip","preg","test","head","mass","fate"
2021-09-08 06:00:00,"5.3","5",3,"hevonen","control","control","A1",1,1,"226781",1,"M",NA,NA,NA,"0",12.3,15.5,"R"
2021-09-08 06:00:00,"5.3","5",3,"hevonen","control","control","G1",7,1,"219898",0,"F","0","0","0",NA,12.6,14,"R"
2021-09-08 06:00:00,"5.3","5",3,"hevonen","control","control","G1",7,1,"226168",0,"F","0","0","0",NA,12.6,14,"R"
2021-09-08 06:00:00,"5.3","5",3,"hevonen","control","control","B1",2,2,"226733",1,"M",NA,NA,NA,"0",12.5,17.5,"R"
2021-09-08 06:00:00,"5.3","5",3,"hevonen","control","control","I6",9,11,"219879",0,"F","0","0","0",NA,12.6,14,"R"
2021-09-08 06:00:00,"5.3","5",3,"hevonen","control","control","A6",1,11,"219692",1,"M",NA,NA,NA,"0",12.6,14.5,"R"
2021-09-08 06:00:00,"5.3","5",3,"hevonen","control","control","D5",4,10,"226147",0,"M",NA,NA,NA,"1",13.9,24,"R"
2021-09-08 06:00:00,"5.3","5",3,"hevonen","control","control","A4",1,7,"219978",0,"M",NA,NA,NA,"0",12.6,14.5,"R"
2021-09-08 06:00:00,"5.3","5",3,"hevonen","control","control","J5",10,10,"219991",0,"M",NA,NA,NA,"0",13.3,17.5,"R"
2021-09-08 06:00:00,"5.3","5",3,"hevonen","control","control","E1",5,1,"219949",0,"M",NA,NA,NA,"0",13,21.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"kiirastuli","control","deworm","H1",8,2,"226701",1,"F","0","0","0",NA,13,13,"R"
2021-09-11 06:00:00,"5.1","5",1,"kiirastuli","control","deworm","J2",10,4,"219870",0,"F","1","1","0",NA,13,19.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"kiirastuli","control","deworm","G5",7,9,"226734",1,"F","0","0","0",NA,12.2,12.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"kiirastuli","control","deworm","G6",7,11,"219875",1,"F","1","0","0",NA,13.1,18.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"kiirastuli","control","deworm","D5",4,10,"226778",1,"M",NA,NA,NA,"0",13,12.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"kiirastuli","control","deworm","C1",3,1,"226104",0,"F","0","0","0",NA,12.1,13,"R"
2021-09-11 06:00:00,"5.1","5",1,"kiirastuli","control","deworm","C6",3,11,"226707",1,"M",NA,NA,NA,"1",13.3,15.5,"S"
2021-09-11 16:00:00,"5.2","5",2,"kiirastuli","control","deworm","E6",5,11,"219873",0,"F","0","0","0",NA,12.8,18.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"mustikka","control","deworm","C5",3,9,"226759",1,"M",NA,NA,NA,"0",13.4,16,"R"
2021-09-11 06:00:00,"5.1","5",1,"mustikka","control","deworm","J4",10,8,"219926",0,"M",NA,NA,NA,"0",13.6,20,"R"
2021-09-11 06:00:00,"5.1","5",1,"mustikka","control","deworm","C5",3,9,"226712",1,"M",NA,NA,NA,"0",12.4,15.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"mustikka","control","deworm","H1",8,2,"226136",0,"M",NA,NA,NA,"1",12.6,16,"R"
2021-09-11 06:00:00,"5.1","5",1,"mustikka","control","deworm","K4",11,7,"219644",1,"F","1","1","0",NA,12.7,18.5,"S"
2021-09-11 06:00:00,"5.1","5",1,"mustikka","control","deworm","G1",7,1,"226194",0,"M",NA,NA,NA,"1",11.7,15.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"mustikka","control","deworm","A5",1,9,"219785",1,"F","0","0","0",NA,12.5,13,"R"
2021-09-11 06:00:00,"5.1","5",1,"mustikka","control","deworm","D1",4,2,"226125",0,"M",NA,NA,NA,"0",12.7,16.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"mustikka","control","deworm","C3",3,5,"219812",1,"M",NA,NA,NA,"0",13.4,15.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"mustikka","control","deworm","J3",10,6,"219663",1,"F","0","0","0",NA,12.6,12.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"mustikka","control","deworm","B3",2,6,"226788",1,"F","0","0","0",NA,12.7,17.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"mustikka","control","deworm","C4",3,7,"219772",1,"M",NA,NA,NA,"0",14.5,17.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"mustikka","control","deworm","G5",7,9,"226723",1,"M",NA,NA,NA,"0",12.4,15.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","C6",3,11,"219841",1,"M",NA,NA,NA,"0",13,15.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","A5",1,9,"226180",0,"M",NA,NA,NA,"0",12.8,17.5,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","C6",3,11,"219854",1,"M",NA,NA,NA,"0",12.8,13,"R"
2021-09-11 06:00:00,"5.1","5",1,"talo","supplement","deworm","C6",3,11,"219735",1,"F","0","0","0",NA,13.4,15,"R"
